ID,Name,Price,Link,ModelNumber,Images
0,"Samsung Galaxy Tab A SM-T350 8"" Tablet with 1.2GHz Quad-Core Processor, 16GB of Storage & Android 5.0 - White",$219.99,http://www.thesource.ca/en-ca/computers-and-tablets/ipad-devices-and-tablets/tablets/samsung-galaxy-tab-a-sm-t350-8%22-tablet-with-1-2ghz-quad-core-processor%2c-16gb-of-storage-and-android-5-0---white/p/108035511,SM-T350NZWAXAC,http://www.thesource.ca/medias/20170512095440-108035511-AA.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3w5MzQ2fGltYWdlL2pwZWd8aW1hZ2VzL2gwYi9oNTYvODk3MzI2MjQ4NzU4Mi5qcGd8ODYyODBhODNmY2JkODg0MjE4NDY1MjJkOTY4OGZjY2QwMjdhZTY4YzEwZjAxZDdkZDk0OGEwNDFiZDlhNDRjNw
1,"Samsung Galaxy Tab A SM-T350 8"" Tablet with 1.2GHz Quad-Core Processor, 16GB of Storage & Android 5.0 - Titanium",$219.99,http://www.thesource.ca/en-ca/computers-and-tablets/ipad-devices-and-tablets/tablets/samsung-galaxy-tab-a-sm-t350-8%22-tablet-with-1-2ghz-quad-core-processor%2c-16gb-of-storage-and-android-5-0---titanium/p/108035517,SM-T350NZAAXAC,http://www.thesource.ca/medias/20170512095440-108035517-AA.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3w5NzkwfGltYWdlL2pwZWd8aW1hZ2VzL2hjYy9oZTIvODk3MzI2MzUzNjE1OC5qcGd8YzNkMjBhYWY0NjkwYTZmNjlmNTQ1Y2U3NjdiMDJmMmMxY2NhYWNhOGJlYTNkN2M3ZWJjZWE4Y2Q1MDBiOTY0ZQ
2,"Samsung Tab E Lite SM-T113NDWAXAC 7” Tablet with 1.3GHz Quad-Core Processor, 8GB of Storage & Android 4.4 KitKat - White",$129.99,http://www.thesource.ca/en-ca/computers-and-tablets/ipad-devices-and-tablets/tablets/samsung-tab-e-lite-sm-t113ndwaxac-7%e2%80%9d-tablet-with-1-3ghz-quad-core-processor%2c-8gb-of-storage-and-android-4-4-kitkat---white/p/108046019,SM-T113NDWAXAC,http://www.thesource.ca/medias/8046019-A3.jpg?context=bWFzdGVyfGltYWdlc3wyMTQxNnxpbWFnZS9qcGVnfGltYWdlcy9oMGYvaDljLzg4NTMzNDU0MzU2NzguanBnfDQwYTdiMWM1NDc4MTkzNzA5MWU2ZmE1YTk1NTc5NmU2YmQzMWVkZTYzZWU5MjJhNDI4NWUwNTJiOWIwODBlYjM
3,"Acer Iconia One 10 B3-A30 10.1” Tablet with 1.30GHz MediaTek Quad-Core Processor, 16GB of Storage & Android 6.0 - Black",$179.99,http://www.thesource.ca/en-ca/computers-and-tablets/ipad-devices-and-tablets/tablets/acer-iconia-one-10-b3-a30-10-1%e2%80%9d-tablet-with-1-30ghz-mediatek-quad-core-processor%2c-16gb-of-storage-and-android-6-0---black/p/108061482,B3-A30-K5PJ,http://www.thesource.ca/medias/20161011090126-108061482-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wxNTE3MnxpbWFnZS9qcGVnfGltYWdlcy9oMzcvaDBjLzg4OTc2NzU2MjQ0NzguanBnfDE5ZmJhZDk3MWI0N2U4YmRmMGY5NjhmMTNiN2Q2ZjA5YTNlMDE1NDliN2Q0ODU3NzYyNDAyMzQyMzY4M2NkNzI
4,"Acer Iconia One B1-780-K9UP 7” Tablet with 1.3GHz ARM Cortex-A53 Quad-Core Processor, 16GB of Storage & Android 6.0 - White",$99.99,http://www.thesource.ca/en-ca/computers-and-tablets/ipad-devices-and-tablets/tablets/acer-iconia-one-b1-780-k9up-7%e2%80%9d-tablet-with-1-3ghz-arm-cortex-a53-quad-core-processor%2c-16gb-of-storage-and-android-6-0---white/p/108063576,B1-780-K9UP,http://www.thesource.ca/medias/20161222135710-108063576-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3w4OTAzfGltYWdlL2pwZWd8aW1hZ2VzL2gyMS9oMDEvODkzMDEwODI3Njc2Ni5qcGd8ZDQzNDBiMjY0MDJhMDZkODBiMjI0MmVlNWU5NWFjNzljNTI5NmIzYzAzOGViNjEyY2VjNjUyNzJlZTVlNGZmMg
5,Samsung Galaxy Tab E 9.6” Tablet with 1.2GHz Quad-Core Processor & 16GB of Storage - White - SM-T560NZWUXAC,$329.99,http://www.thesource.ca/en-ca/computers-and-tablets/ipad-devices-and-tablets/tablets/samsung-galaxy-tab-e-9-6%e2%80%9d-tablet-with-1-2ghz-quad-core-processor-and-16gb-of-storage---white---sm-t560nzwuxac/p/108040550,SM-T560NZKUXAC,http://www.thesource.ca/medias/8040550-mediaConversion-original-1-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wyMzcxNHxpbWFnZS9qcGVnfGltYWdlcy9oMzAvaGQ1Lzg4MjgxNTE5NTU0ODYuanBnfDNmM2FhZmJmNjE0MTNmMDJkYTY4MzRlZWNlOTM4YzJmZDQ0YjVkZGYxYjBjYjUzZGNjNjRiODgxMjZlOWU3NzM
6,Samsung Galaxy Tab E 9.6” Tablet with 1.2GHz Quad-Core Processor & 16GB of Storage - Black - SM-T560NZKUXAC,$329.99,http://www.thesource.ca/en-ca/computers-and-tablets/ipad-devices-and-tablets/tablets/samsung-galaxy-tab-e-9-6%e2%80%9d-tablet-with-1-2ghz-quad-core-processor-and-16gb-of-storage---black---sm-t560nzkuxac/p/108040549,SM-T560NZKUXAC,http://www.thesource.ca/medias/base-1000952604764400-108040549-mediaConversion-or-2.jpg?context=bWFzdGVyfGltYWdlc3w1ODU0fGltYWdlL2pwZWd8aW1hZ2VzL2hmYy9oNjQvODg1NDUwOTEyNTY2Mi5qcGd8NTNmNjUxNTdmMjUxYTdiMmJkZTQwNGVjNmJkNDhiNzRiMzZhNzM1YTM2OTJkZTdiMjJiZTNmYzUwYjI3ZGUwNw
7,"Acer Iconia B3-A20 10.1"" Tablet with 1.3GHz MediaTek MT8163 Processor, 16GB of Storage & Android 5.0 Lollipop - White",$199.99,http://www.thesource.ca/en-ca/computers-and-tablets/ipad-devices-and-tablets/tablets/acer-iconia-b3-a20-10-1%22-tablet-with-1-3ghz-mediatek-mt8163-processor%2c-16gb-of-storage-and-android-5-0-lollipop---white/p/108040653,NT.LBVAA.001,http://www.thesource.ca/medias/base-1001035041082800-108040653-mediaConversion-original-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wyMzAyNHxpbWFnZS9qcGVnfGltYWdlcy9oNGIvaDM3Lzg4NTEzNTQwMjYwMTQuanBnfDU0MDE2OWMxNzA5Njc4NTczNzNjYWRmMTkyMjQxOTI1N2M1MGI0NGE4YTA4MzcxZmJiMGU1MDQ2NWEwNTYzYzk
8,"Samsung SM-T230 Galaxy Tab 4 8GB 7"" Quad-Core Wi-Fi Tablet with Android 4.4 KitKat - Black",$219.99,http://www.thesource.ca/en-ca/computers-and-tablets/ipad-devices-and-tablets/tablets/samsung-sm-t230-galaxy-tab-4-8gb-7%22-quad-core-wi-fi-tablet-with-android-4-4-kitkat---black/p/108029275, SM-T230NYKAXAC,http://www.thesource.ca/medias/base-1708914489029100-108029275-mediaConversion-original-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wzMzYyOXxpbWFnZS9qcGVnfGltYWdlcy9oN2YvaDYzLzg4NDQzNDc4MzQzOTguanBnfGNkM2JlYjc5ODlhOTQxY2ZiZjFlOTFlY2Q3NGJmNjBiM2ZjODgwZTUzYjE5MjgxOWFiNzMwMjYyOWZlNzNjOGQ
9,"Ematic EWT826BK 8” Tablet with 1.3 GHz Intel Quad-Core Processor, 32GB of storage & Windows 10 - Black",$169.99,http://www.thesource.ca/en-ca/computers-and-tablets/ipad-devices-and-tablets/tablets/ematic-ewt826bk-8%e2%80%9d-tablet-with-1-3-ghz-intel-quad-core-processor%2c-32gb-of-storage-and-windows-10---black/p/108046375,EWT826BK,http://www.thesource.ca/medias/8046375-A3.jpg?context=bWFzdGVyfGltYWdlc3wyODMyMHxpbWFnZS9qcGVnfGltYWdlcy9oYjUvaGNjLzg4NTUwNzU3NDk5MTguanBnfDEyMGE0NjUyMTA1NzU4Mjc2ZDNmMWM4YjdkYTA1ZTEwOTcwNjljZjJjODgxMjRiZmNkY2U4NTE3ZTIwNDY3ZjU
10,"Ematic EGQ223 10.1” Tablet with 1.2 GHz Intel Quad-Core Processor, 16GB of storage & Android 5.1 Lollipop",$129.99,http://www.thesource.ca/en-ca/computers-and-tablets/ipad-devices-and-tablets/tablets/ematic-egq223-10-1%e2%80%9d-tablet-with-1-2-ghz-intel-quad-core-processor%2c-16gb-of-storage-and-android-5-1-lollipop/p/108046377,EGQ223,http://www.thesource.ca/medias/8046377-A3.jpg?context=bWFzdGVyfGltYWdlc3wyODc0OXxpbWFnZS9qcGVnfGltYWdlcy9oOTkvaDMwLzg4NTUxMDU3MzI2MzguanBnfGM3OGRiMGVhNjUzMTIyMmQ2NGI5ZmI0YWRjODZjYTJiOGU1ZjU5MDk3NDljMmQ3NmJmMjgxNDE1NmMwNmM2MTA
11,"Samsung Galaxy Tab A 7” Tablet with 1.3GHz Quad-Core Processor, 8GB of Storage & Android 5.1 - Black",$199.99,http://www.thesource.ca/en-ca/computers-and-tablets/ipad-devices-and-tablets/tablets/samsung-galaxy-tab-a-7%e2%80%9d-tablet-with-1-3ghz-quad-core-processor%2c-8gb-of-storage-and-android-5-1---black/p/108046021,SM-T280NZKAXAC,http://www.thesource.ca/medias/base-240026918027900-108046021-mediaConversion-original-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wyNDk5NnxpbWFnZS9qcGVnfGltYWdlcy9oMmQvaDU5Lzg4NDk2NDAwMzAyMzguanBnfDA3NTk2MzY3MzJlM2JmZWQ1YTQwYjc4MjgwMGY2ZTA3ODFjOTFjNGMxNWNhZGI5YzcwYWNkNjVlMDI4MWMxMGY
12,"Samsung Galaxy Tab A 7” Tablet with 1.3GHz Quad-Core Processor, 8GB & Android 5.1 - White",$199.99,http://www.thesource.ca/en-ca/computers-and-tablets/ipad-devices-and-tablets/tablets/samsung-galaxy-tab-a-7%e2%80%9d-tablet-with-1-3ghz-quad-core-processor%2c-8gb-and-android-5-1---white/p/108046020,SM-T280NZKAXAC,http://www.thesource.ca/medias/base-239956990482000-108046020-mediaConversion-original-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wyNDExMnxpbWFnZS9qcGVnfGltYWdlcy9oNzcvaGM3Lzg4NDk2MzcwMTU1ODIuanBnfDU2NmQxZmFkZGU5Y2U1YmQyNWZmNmM2OGRkYzViY2FiNjkyMmVjMTQxM2Y1YzQyNTk2Y2U5MjRlZWYxMTdlZjM
13,"Samsung Galaxy View 18.4"" Wi-Fi Tablet with 1.6GHz Samsung Exynos 7580 Octa-Core Processor, 32GB of Storage & Android 5.1",$699.00,http://www.thesource.ca/en-ca/computers-and-tablets/ipad-devices-and-tablets/tablets/samsung-galaxy-view-18-4%22-wi-fi-tablet-with-1-6ghz-samsung-exynos-7580-octa-core-processor%2c-32gb-of-storage-and-android-5-1/p/108042563,SM-T670NZKAXAC,http://www.thesource.ca/medias/8042563xl-mediaConversion-original-2-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wzMzY1NXxpbWFnZS9qcGVnfGltYWdlcy9oNGEvaGNhLzg4MjQwMDk5ODE5ODIuanBnfDYyMDA5MmM4Y2M5MDhlMjU5M2Q4NjlkZjE1ZTNjNDU1ZDJiZWFmNzQ4MGMyODFiOTYyZGEzMThkNzVhYjdlYTU
14,"Samsung Tab S2 8.0 Tablet with 3.2 GHz Octa-Core, 32GB - Gold",$449.99,http://www.thesource.ca/en-ca/computers-and-tablets/ipad-devices-and-tablets/tablets/samsung-tab-s2-8-0-tablet-with-3-2-ghz-octa-core%2c-32gb---gold/p/108059941,SM-T713NZDEXAC,http://www.thesource.ca/medias/20160815164852-108059941-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3w2NDE3fGltYWdlL2pwZWd8aW1hZ2VzL2hiMC9oMTUvODg4MTI4MjU0Nzc0Mi5qcGd8OTkzMGY2MTRlZjVhZDZlMzFlMWJiNGZjZjY2YjJmNTcwY2Q5ZTI1YmNmYmEwZDIyMTA0MzFkODEwZDFmZmM3Yw
