ID,Name,Price,Link,Images
0,"ZTE AXON 7 64GB 4G LTE Ion Gold Dual SIM Unlocked Smartphone 5.5"" 4GB RAM (North America Warranty)",499.99,https://www.newegg.ca/Product/Product.aspx?Item=N82E16875705054,https://images10.newegg.com/ProductImageCompressAll300/75-705-054-01.jpg?ex=2
1,"Axon Pro Unlocked Smart Phone, 5.5"" Blue Color, 32GB Storage 4GB RAM (North America Warranty)",284.99,https://www.newegg.ca/Product/Product.aspx?Item=N82E16875705035,https://images10.newegg.com/ProductImageCompressAll300/75-705-035-03.jpg?ex=2
2,"Asus ZenFone 3 Laser 32GB 4G LTE Unlocked Cell Phone 5.5"" 2GB RAM Glacier Silver",269.00,https://www.newegg.ca/Product/Product.aspx?Item=N82E16875220043,https://images10.newegg.com/ProductImageCompressAll300/75-220-043-02.jpg?ex=2
3,"Huawei Mate 9 Unlocked Smartphone with Amazon Alexa and Leica Dual Camera (5.9"" Space Gray, 64GB Storage 4GB RAM) US Warranty",779.99,https://www.newegg.ca/Product/Product.aspx?Item=N82E16875606090,https://images10.newegg.com/ProductImageCompressAll300/75-606-090-V01.jpg?ex=2
4,"ASUS ZenFone 3 Zoom, ZE553KL, 5.5-inch 3GB RAM, 32GB storage Unlocked Dual SIM Smartphone, Navy Black, Android Nougat 7.1.1",429.00,https://www.newegg.ca/Product/Product.aspx?Item=N82E16875220054,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/75-220-054-V01.jpg?ex=2
5,"Nubia Z11 Mini Dual SIM Unlocked Smartphone (5.0"" FHD Black, 32GB Storage 3GB RAM) US Warranty",229.99,https://www.newegg.ca/Product/Product.aspx?Item=N82E16875706005,https://images10.newegg.com/ProductImageCompressAll300/75-706-005-S13.jpg?ex=2
6,"Asus ZenFone 3 (ZE552KL) 64GB 4G LTE Sapphire Black SIM Unlocked Cell phone 5.5"" 4GB RAM",429.00,https://www.newegg.ca/Product/Product.aspx?Item=N82E16875220038,https://images10.newegg.com/ProductImageCompressAll300/75-220-038-08.jpg?ex=2
7,"Asus ZenFone 3 (ZE552KL) 64GB 4G LTE White Dual SIM Unlocked Cell phone 5.5"" 4GB RAM",429.00,https://www.newegg.ca/Product/Product.aspx?Item=N82E16875220046,https://images10.newegg.com/ProductImageCompressAll300/75-220-046-04.jpg?ex=2
8,"Motorola Moto G5 16GB 4G LTE Unlocked Cell Phone 5"" 2GB RAM Lunar Grey",279.99,https://www.newegg.ca/Product/Product.aspx?Item=N82E16875209512,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/75-209-512-S01.jpg?ex=2
9,"ASUS ZenFone AR ZS571KL 5.7"", 6GB/64GB, Dual SIM, Unlocked Cell Phone, Black",799.99,https://www.newegg.ca/Product/Product.aspx?Item=N82E16875220025,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/75-220-025-S05.jpg?ex=2
10,Huawei - Honor 8 Dual Camera Unlocked Smartphone 32GB Pearl White - US Warranty,489.99,https://www.newegg.ca/Product/Product.aspx?Item=N82E16875606078,https://images10.newegg.com/ProductImageCompressAll300/75-606-078-09.jpg?ex=2
11,Huawei - Honor 8 Dual Camera Unlocked Smartphone 64GB Pearl White - US Warranty,599.99,https://www.newegg.ca/Product/Product.aspx?Item=N82E16875646002,https://images10.newegg.com/ProductImageCompressAll300/75-646-002-01.jpg?ex=2
12,"Apple iPhone 7 PLUS 128GB 4G LTE Jet Black Unlocked Cell Phone 5.5"" 3GB RAM","1,149.99",https://www.newegg.ca/Product/Product.aspx?Item=N82E16875100591,https://images10.newegg.com/ProductImageCompressAll300/75-100-591-02.jpg?ex=2
13,"ASUS ZenFone 4 Max ZC554KL 5.5"", 3GB/32GB, Dual SIM, Unlocked Cell Phone, Black",299.00,https://www.newegg.ca/Product/Product.aspx?Item=N82E16875220057CVF,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/75-220-057-V01.jpg?ex=2
14,"ZTE Blade V8 Pro Dual Camera Unlocked Smartphone (5.5"" Black, 32GB Storage 3GB RAM) US Warranty",299.99,https://www.newegg.ca/Product/Product.aspx?Item=N82E16875705062,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/75-705-062-V01.jpg?ex=2
15,Apple iPhone 7 256GB Jet Black Unlocked Smartphone,"1,199.99",https://www.newegg.ca/Product/Product.aspx?Item=N82E16875100588,https://images10.newegg.com/ProductImageCompressAll300/75-100-588-01.jpg?ex=2
16,Apple iPhone 7 32GB Black Unlocked Smartphone,879.00,https://www.newegg.ca/Product/Product.aspx?Item=N82E16875100587,https://images10.newegg.com/ProductImageCompressAll300/75-100-587-02.jpg?ex=2
17,Apple iPhone 7 128GB Jet Black Unlocked Smartphone,859.00,https://www.newegg.ca/Product/Product.aspx?Item=9SIACNV6E05014,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/75-100-589-01.jpg?ex=2
18,"CAT S60 32GB 4G LTE Unlocked Cell phone, Single SIM, US band, US Charger 4.7"" 3GB RAM Black",799.00,https://www.newegg.ca/Product/Product.aspx?Item=N82E16875982682CVF,https://images10.newegg.com/ProductImageCompressAll300/75-982-682CVF-03.jpg?ex=2
19,"Motorola Moto E 16GB 4G LTE Unlocked Cell Phone 5"" 2GB RAM Black",179.99,https://www.newegg.ca/Product/Product.aspx?Item=N82E16875209514,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/75-209-514-V01.jpg?ex=2
20,Apple iPhone 7 128GB Gold Unlocked Smartphone,"1,059.00",https://www.newegg.ca/Product/Product.aspx?Item=N82E16875100561,https://images10.newegg.com/ProductImageCompressAll300/75-100-561-01.jpg?ex=2
21,Apple iPhone 7 256GB Black Unlocked Smartphone,"1,159.00",https://www.newegg.ca/Product/Product.aspx?Item=N82E16875100555,https://images10.newegg.com/ProductImageCompressAll300/75-100-555-03.jpg?ex=2
22,Apple iPhone 7 32GB Gold Unlocked Smartphone,999.99,https://www.newegg.ca/Product/Product.aspx?Item=N82E16875100553,https://images10.newegg.com/ProductImageCompressAll300/75-100-553-01.jpg?ex=2
23,Apple iPhone 7 256GB Gold Unlocked Smartphone,"1,149.99",https://www.newegg.ca/Product/Product.aspx?Item=N82E16875100557,https://images10.newegg.com/ProductImageCompressAll300/75-100-557-01.jpg?ex=2
24,Apple iPhone 7 128GB Silver Unlocked Smartphone,"1,029.00",https://www.newegg.ca/Product/Product.aspx?Item=N82E16875100560,https://images10.newegg.com/ProductImageCompressAll300/75-100-560-02.jpg?ex=2
25,Apple iPhone 7 32GB Rose Gold Unlocked Smartphone,959.99,https://www.newegg.ca/Product/Product.aspx?Item=N82E16875100554,https://images10.newegg.com/ProductImageCompressAll300/75-100-554-02.jpg?ex=2
26,Google Pixel 32GB (Factory Unlocked) 5-inch 12.3MP Android Smartphone - Quite Black,849.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIACNV5CE4060,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A66S_131226697546823375B3COxawNk1.jpg?ex=2
27,"Samsung Galaxy S7 Unlocked Smart Phone, 5.1"" AMOLED Display, Silver Color, 32GB Storage 4GB RAM International version - No Warranty",699.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIACNV5AN4526,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/75-169-158-01.jpg?ex=2
28,"Huawei P10 Lite 32GB WAS-LX3 GSM Factory Unlocked 4G LTE 5.2"" Display 3GB RAM 12MP Camera Phone - Graphite Black",369.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIACNV6DM8209,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/ABPX_131453771912127195bpkCWGLbeF.jpg?ex=2
29,Huawei P10 Plus 5.5 inch 4G Smartphone (6GB + 128GB 12 MP 20 MP Octa Core),899.95,https://www.newegg.ca/Product/Product.aspx?Item=9SIACNV6DM8202,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A9JN_131455265994435656b0Doo0fRF4.jpg?ex=2
30,"Blu STUDIO C HD S090Q 8GB 3G Unlocked Cell Phone 5"" 1GB RAM White",109.99,https://www.newegg.ca/Product/Product.aspx?Item=N82E16875561778,https://images10.newegg.com/ProductImageCompressAll300/75-561-778-01.jpg?ex=2
31,"LG G5 RS988 32GB Titan Unlocked Smartphone, 4GB RAM 5.3"" US Warranty",499.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIACNV5JU5432,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/75-136-358-10.jpg?ex=2
32,"Apple iPhone 6 64GB 4G LTE 64GB 4G LTE Unlocked GSM Cell Phone 4.7"" 1GB RAM Gold",789.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIA8YD39E9994,https://images10.newegg.com/ProductImageCompressAll300/75-100-163-01.jpg?ex=2
33,"LG Nexus 5X Unlocked Smart Phone, 5.2"" Carbon Black, 32GB Storage 2GB RAM, US Warranty",424.95,https://www.newegg.ca/Product/Product.aspx?Item=9SIACNV5JU1649,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/75-136-349-01.jpg?ex=2
34,Apple iPhone 7 256GB Silver Unlocked Smartphone,"1,159.00",https://www.newegg.ca/Product/Product.aspx?Item=N82E16875100556,https://images10.newegg.com/ProductImageCompressAll300/75-100-556-02.jpg?ex=2
35,"Samsung Galaxy S7 Unlocked Smart Phone, 5.1"" AMOLED Display, Gold Color, 32GB Storage 4GB RAM International version - No Warranty",699.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIACNV5AN4527,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/75-169-157-02.jpg?ex=2
36,Motorola Nexus 6 XT1103 32GB 4G LTE Unlocked GSM Android v5.0 Smartphone - Blue - US Version,779.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIA8YD3BV6097,https://images10.newegg.com/ProductImageCompressAll300/75-209-438-02.jpg?ex=2
37,"Figo PRIME M50G Unlocked Smartphone with Dual Camera (5.0"" Black, 8GB Storage 1GB RAM)",99.99,https://www.newegg.ca/Product/Product.aspx?Item=N82E16875581061,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/75-581-061-V01.jpg?ex=2
38,"Figo Gravity X55L Unlocked Smartphone with Dual Camera (5.5"" Silver, 32GB Storage 3GB RAM)",239.99,https://www.newegg.ca/Product/Product.aspx?Item=N82E16875581058,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/75-581-058-S03.jpg?ex=2
39,"Sony Xperia XZ Premium G8142 64GB 4G LTE Dual SIM Unlocked Smartphone - US Warranty 5.5"" 4GB RAM Black",829.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIACNV5UP2799,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/75-212-405-S04.jpg?ex=2
40,Apple iPhone 7 256GB Rose Gold Unlocked Smartphone,"1,159.00",https://www.newegg.ca/Product/Product.aspx?Item=N82E16875100558,https://images10.newegg.com/ProductImageCompressAll300/75-100-558-04.jpg?ex=2
41,"Samsung Galaxy S7 Dual SIM Unlocked Smart Phone, 5.1"" AMOLED Display, Gold Color, 32GB Storage 4GB RAM International Version - No Warranty",729.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIA8YD52Z4321,https://images10.newegg.com/ProductImageCompressAll300/75-169-191-01.jpg?ex=2
42,"BlackBerry KEYone 32GB 4G LTE Cell Phone 4.5"" 3GB RAM, Silver",689.99,https://www.newegg.ca/Product/Product.aspx?Item=N82E16875353272,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/75-353-272-S03.jpg?ex=2
43,Apple iPhone 6 16GB 4G LTE Unlocked Cell Phone with 1GB RAM (Gold),739.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIA8YD39E9971,https://images10.newegg.com/ProductImageCompressAll300/75-100-160-01.jpg?ex=2
44,Google Pixel 32GB (Factory Unlocked) 5-inch 12.3MP Android Smartphone - Very Silver,849.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIACNV58P1337,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A66S_131226700585302604ciaqnkzcBt.jpg?ex=2
45,Huawei P10 Plus 5.5 inch 4G Smartphone (6GB + 128GB 12 MP 20 MP Octa Core),899.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIACNV6DM8210,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A9JN_131455271365921164s2TB5WvWTv.jpg?ex=2
46,Samsung Galaxy S5 SM-G900A 16GB (AT&T) 4G LTE + Unlocked GSM Smartphone - White,519.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIA8YD39E9945,https://images10.newegg.com/ProductImageCompressAll300/23B-0002-001P9-01.jpg?ex=2
47,Apple iPhone 7 32GB Silver Unlocked Smartphone,989.99,https://www.newegg.ca/Product/Product.aspx?Item=N82E16875100552,https://images10.newegg.com/ProductImageCompressAll300/75-100-552-02.jpg?ex=2
48,"Samsung Galaxy S8 64GB 4G LTE Unlocked Cell Phone US Version 5.8"" 4GB RAM Midnight Black","1,232.85",https://www.newegg.ca/Product/Product.aspx?Item=9SIAAYY61C3036,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/75-169-378-S01.jpg?ex=2
49,LG Google Nexus 5X 32GB Unlocked Smartphone Carbon Black International version No Warranty,424.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIACNV58P1739,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/75-136-383-01.jpg?ex=2
50,"LG G4 US991 32GB Smartphone (Unlocked, Black Leather)",419.99,https://www.newegg.ca/Product/Product.aspx?Item=N82E16875136355,https://images10.newegg.com/ProductImageCompressAll300/75-136-355-01.jpg?ex=2
51,"Lenovo Phab 2 Unlocked Android Smartphone - Cellphone with Augmented Entertainment, 32 GB Grey (U.S. Warranty) Cell Phone Smart",299.00,https://www.newegg.ca/Product/Product.aspx?Item=9SIABDC6A53594,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A8X5_13136429372550024698h1RPuLRX.jpg?ex=2
52,Apple iPhone 7 128GB Rose Gold Unlocked Smartphone,"1,399.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIA8YD52Z5656,https://images10.newegg.com/ProductImageCompressAll300/75-100-562-02.jpg?ex=2
53,Apple iPhone 6 16GB 4G LTE Unlocked Cell Phone with 1GB RAM (Silver),811.98,https://www.newegg.ca/Product/Product.aspx?Item=9SIA8YD39F0124,https://images10.newegg.com/ProductImageCompressAll300/75-100-159-01.jpg?ex=2
54,"Sony Xperia Z1 Compact D5503 16 GB, 2 GB RAM Unlocked Cell Phone 4.3"" Black",531.98,https://www.newegg.ca/Product/Product.aspx?Item=9SIA8YD39F0071,https://images10.newegg.com/ProductImageCompressAll300/75-212-306-03.jpg?ex=2
55,"BlackBerry Porsche Design P9982 (FACTORY UNLOCKED) 64GB 2GB RAM 4.2"" 8MP",729.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIA8YD39F0060,https://images10.newegg.com/ProductImageCompressAll300/A580_1_20140703558556328.jpg?ex=2
56,Trendy New Indigi®  M8 Smartphone Android 5.1 2sim Internationally Unlocked ~ w/FREE Bundled Items,165.59,https://www.newegg.ca/Product/Product.aspx?Item=9SIA91948M5467,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_20160607146556289.jpg?ex=2
57,"New Indigi® Black M8 Factory Unlocked Global Mobile Device 6"" QHD  3G Smart Phone GPS + FREE Extras!",166.90,https://www.newegg.ca/Product/Product.aspx?Item=9SIA91948M3734,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_20160607681345865.jpg?ex=2
58,Indigi® Stylish NEW 2016 GSM Unlocked Android 5.1 Lollipop 2sim Android - FREE Bundle Items!,165.46,https://www.newegg.ca/Product/Product.aspx?Item=9SIA91948M5475,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_2016060727067063.jpg?ex=2
59,"Indigi® New M8 Android 5.1 Smart Phone Dual Sim GSM Unlocked 6"" QHD + Free BUNDLED ITEMS",167.55,https://www.newegg.ca/Product/Product.aspx?Item=9SIA91948M3717,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_20160607591012146.jpg?ex=2
60,"Factory Unlocked Indigi® M8 6.0"" Stylish Phablet Android 5.1 Lollipop 3G Smart Phone GPS + Free Bundle Included",168.72,https://www.newegg.ca/Product/Product.aspx?Item=9SIA91948M3765,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_201606071287496972.jpg?ex=2
61,Indigi® 2016 GSM Factory Unlocked! Smartphone Android 5.1 Bluetooth WiFi + FREE Bundle!,167.29,https://www.newegg.ca/Product/Product.aspx?Item=9SIA91948M3753,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_20160607208764337.jpg?ex=2
62,"Indigi® 2016 3G Android 5.1 Unlocked Smartphone 6"" HD Bluetooth 2sim - Free Bundled Items",164.94,https://www.newegg.ca/Product/Product.aspx?Item=9SIA91948M5477,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_201606071169297332.jpg?ex=2
63,"Indigi® 2016 New M8 Factory and Global Unlocked Smart Phone 6"" QHD GSM+WCDMA - Free Bundled Items!",166.25,https://www.newegg.ca/Product/Product.aspx?Item=9SIA91948M3722,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_20160607838044588.jpg?ex=2
64,"NEW Indigi® M8 6.0"" GOLD Dual Sim Global Unlocked Android 5.1 + FREE Bundle ITEMS!",167.81,https://www.newegg.ca/Product/Product.aspx?Item=9SIA91948M3604,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_20160607382568298.jpg?ex=2
65,"Indigi® New Indigi® M8 GSM GPS Android 5.1 Unlocked! 6"" QHD Dual Sim Phone- Free BUNDLE!",166.12,https://www.newegg.ca/Product/Product.aspx?Item=9SIA91948M5469,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_201606071299026612.jpg?ex=2
66,"New Indigi® M8 GSM GPS Android 5.1 Unlocked! 6"" QHD Smart Phone 3G Dual Sim - Free Bundle Items!",165.07,https://www.newegg.ca/Product/Product.aspx?Item=9SIA91948M5468,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_201606071959987942.jpg?ex=2
67,Indigi® 2016 Unlocked Wireless Android 5.1 M8 Smartphone 6-inch QHD Bluetooth (White) - Free Bundle Included!,165.72,https://www.newegg.ca/Product/Product.aspx?Item=9SIA91948M5476,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_201606071505928814.jpg?ex=2
68,Trendy White Indigi® Factory Unlocked M8 Smartphone Android 5.1 2sim Dual Camera  - Free Bundled Items,165.33,https://www.newegg.ca/Product/Product.aspx?Item=9SIA91948M5472,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_201606071827643516.jpg?ex=2
69,New Indigi® M8 Wireless Smart Phone Android 5.1 Lollipop Bluetooth Global Unlocked Dual-Sim Mobile - Free Bundled Items!,164.81,https://www.newegg.ca/Product/Product.aspx?Item=9SIA91948M5470,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_201606071228811205.jpg?ex=2
70,2016 Black Indigi®  M8 Smartphone Android 5.1 Vodafone GSM Unlocked + FREE Bundled Items!,166.51,https://www.newegg.ca/Product/Product.aspx?Item=9SIA91948M3605,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_201606071418929396.jpg?ex=2
71,Indigi® Global Unlocked M8 Wireless Smart Phone Dual SIM GSM+WCDMA Android 5.1 Lollipop - Free Bundled Items!,166.77,https://www.newegg.ca/Product/Product.aspx?Item=9SIA91948M3718,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_201606071271067432.jpg?ex=2
72,"Indigi® Trendy M8 Dual SIM 6"" QHD Android 5.1 Global Unlocked WiFi + FREE Bundle Items",167.42,https://www.newegg.ca/Product/Product.aspx?Item=9SIA91948M3738,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_201606071115193182.jpg?ex=2
73,Indigi® New M8 SmartPhone Android 5.1 Lollipop Bluetooth Global DualSim w/ Bundle Items,165.98,https://www.newegg.ca/Product/Product.aspx?Item=9SIA91948M5473,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_201606071899912654.jpg?ex=2
74,New Unlocked Indigi®M8 Smart Phone Bluetooth Metal Frame WiFi  + FREE Bundle,168.59,https://www.newegg.ca/Product/Product.aspx?Item=9SIA91948M3622,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_20160607429877515.jpg?ex=2
75,"New Indigi® M8 Android 5.1 Lollipop Mobile Smart Phone Dual Sim GSM Unlocked Wireless 6"" QHD - Free Bundle Included",167.16,https://www.newegg.ca/Product/Product.aspx?Item=9SIA91948M3645,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_201606071027212862.jpg?ex=2
76,Indigi® M8 Factory Unlocked! Digital Smart Phone Dual Sim - Free Bundled Items Included!,165.85,https://www.newegg.ca/Product/Product.aspx?Item=9SIA91948M3623,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_201606071963608232.jpg?ex=2
77,New Indigi® 2016 GSM Unlocked Indigi® M8 Smart Phone Mobile Device  + FREE Bundle Items,168.07,https://www.newegg.ca/Product/Product.aspx?Item=9SIA91948M3720,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_201606072123734305.jpg?ex=2
78,"New 2016 GSM Unlocked Indigi® M8 Mobile Device Smart Phone Android 5.1  6"" QHD - Free Bundled Items!",168.20,https://www.newegg.ca/Product/Product.aspx?Item=9SIA91948M3726,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_20160607762349366.jpg?ex=2
79,"Indigi® M8 Dual SIM Wireless Unlocked International GSM Vodafone 6"" QHD Android 5.1 Lollipop WiFi - Free Bundled Items!",167.03,https://www.newegg.ca/Product/Product.aspx?Item=9SIA91948M3748,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_20160607559268913.jpg?ex=2
80,"Indigi® M8 Factory Unlocked 6"" Android 5.1 3G Wireless Smart Cell Phone GPS + FREE Bundle!",166.38,https://www.newegg.ca/Product/Product.aspx?Item=9SIA91948M3691,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_20160607310940376.jpg?ex=2
81,"2016 Indigi® M8 6.0"" Smartphone GSM+WCDMA Factory Unlocked Global Mobile device + FREE BUNDLE!",168.33,https://www.newegg.ca/Product/Product.aspx?Item=9SIA91948M5471,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_201606071456923254.jpg?ex=2
82,Indigi® Trendy New International Unlocked M8 Smart Phone WiFi GSM+WCDMA  GPS + FREE Bundle!,168.98,https://www.newegg.ca/Product/Product.aspx?Item=9SIA91948M3712,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_201606072053251399.jpg?ex=2
83,Indigi® GSM Unlocked 5.5-inch 3G Speed DualSim Android 4.4 Smart Cell Phone AT&T T-Mobile Straight Talk (White),149.71,https://www.newegg.ca/Product/Product.aspx?Item=9SIA9193CH1108,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_20150220251925146.jpg?ex=2
84,"Indigi® Unlocked Indigi 5.5-inch Dual-Core 3G Android 4.4 Smart Cell Phone Google Play Store Supported (Facebook, Twitter, WhatsApp, Skype, Instagram, YouTube, Netflix and more)",149.91,https://www.newegg.ca/Product/Product.aspx?Item=9SIA9193CH0968,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_20150220251925127.jpg?ex=2
85,"Indigi® ANDROID 4.2 JB 5.5"" CAPACITIVE TOUCH SCREEN 3G GSM+WCDMA DUAL-CORE DUAL-SIM SMARTPHONE UNLOCKED!",149.43,https://www.newegg.ca/Product/Product.aspx?Item=9SIA9193CH1171,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_2014102261237922.jpg?ex=2
86,"Indigi® V13 UNLOCKED 3G SMARTPHONE PHABLET 5.5"" TOUCH SCREEN ANDROID 4.4 DUAL CAMERA Google Play Store Supported (Facebook, Twitter, WhatsApp, Skype, Instagram, YouTube, Netflix)",149.68,https://www.newegg.ca/Product/Product.aspx?Item=9SIA9193CH1156,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_20150220251925149.jpg?ex=2
87,"Indigi® Unlocked Indigi 5.5-inch Dual-Core 3G Android 4.2 Smart Cell Phone Google Play Store Supported (Facebook, Twitter, WhatsApp, Skype, Instagram, YouTube, Netflix and more)",149.40,https://www.newegg.ca/Product/Product.aspx?Item=9SIA9193CH1200,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_2014102261237925.jpg?ex=2
88,"Indigi® V5 UNLOCKED 3G SMARTPHONE PHABLET 5.5"" TOUCH SCREEN ANDROID 4.2 DUAL CAMERA Google Play Store Supported (Facebook, Twitter, WhatsApp, Skype, Instagram, YouTube, Netflix)",149.38,https://www.newegg.ca/Product/Product.aspx?Item=9SIA9193CH1225,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_2014102261237927.jpg?ex=2
89,"Indigi® V13 UNLOCKED 3G Smart Phone Android 4.4 Dual-Sim Dual-Core Dual-Camera w/ Flash 5.5"" Capacitive Touch Screen Google Play Store",149.62,https://www.newegg.ca/Product/Product.aspx?Item=9SIA9193CH1127,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_20150220251925155.jpg?ex=2
90,Indigi® NEW! Ultra-Slim 3G SmartPhone Phablet 5.5-inches Capacitive Touch Screen Android 4.4 Google Play Store Dual-Sim Dual-Standby Dual-Cameras,149.87,https://www.newegg.ca/Product/Product.aspx?Item=9SIA9193CH0961,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_20150220251925131.jpg?ex=2
91,"Indigi® UNLOCKED 3G Smart Phone Android 4.2 Dual-Sim Dual-Core Dual-Cam 5.5"" Capacitive Touch Screen Google Play Store",149.32,https://www.newegg.ca/Product/Product.aspx?Item=9SIA9193CH1210,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_2014102261237933.jpg?ex=2
92,Trendy Indigi® Gold New Factory Unlocked Indigi® M8 Smart Phone Android 5.1 WiFi GSM GPS - Free Bundled Items!,168.85,https://www.newegg.ca/Product/Product.aspx?Item=9SIA91948M3680,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_201606071411261982.jpg?ex=2
93,"Indigi® Unlocked DualCore 5.5"" Android 4.4 DualSim 3G Smart Phone Google Play Store AT&T T-Mobile Straightalk",149.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIA9193CH0942,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_20150220251925119.jpg?ex=2
94,"Indigi® DualCore 3G Smart Phone 5.5"" Capacitive 2-Sim Android 4.4 - UNLOCKED (AT&T | T-Mobile | Straightalk - Bring Your Own Phone)",149.93,https://www.newegg.ca/Product/Product.aspx?Item=9SIA9193CH0949,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_20150220251925125.jpg?ex=2
95,Indigi® 7mm Ultra Slim 3G SmartPhone Android 4.2 Phablet 5.5inch Capacitive GSM UNLOCKED [US SELLER],149.30,https://www.newegg.ca/Product/Product.aspx?Item=9SIA9193CH1216,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_2014102261237926.jpg?ex=2
96,"Indigi® DualCore 3G Smart Phone 5.5"" Capacitive 2-Sim Android 4.2 AT&T T-Mobile UNLOCKED",149.42,https://www.newegg.ca/Product/Product.aspx?Item=9SIA9193CH1184,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_2014102261237923.jpg?ex=2
97,Indigi® 5.5in 3G Black Dual-Sim Dual-Core Android 4.4 Kitkat Smart Cell phone AT&T T-Mobile Straight Talk (Unlocked),149.78,https://www.newegg.ca/Product/Product.aspx?Item=9SIA9193CH0951,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_20150220251925140.jpg?ex=2
98,"Indigi® 5.5"" Dual Core Unlocked Android 4.4 Smartphones 3G GPS Dual-SIM Dual-Standby WiFi Bluetooth Motion Gesture",149.84,https://www.newegg.ca/Product/Product.aspx?Item=9SIA9193CH0939,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_20150220251925134.jpg?ex=2
